,album,artist,duration_ms,energy,genredanceability,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0,Protect The Land / Genocidal Humanoidz,System Of A Down,307645,0.886,,4.74e-05,8,0.338,-3.991,1,75.0,0.0341,76.04,4,11ajcVj3qSyyMPUpTJUP3y,Protect The Land,0.248
1,The Path,Fit For A King,247251,0.932,,0.0,8,0.295,-4.344,1,61.0,0.0434,114.628,4,1zkdINXJTDhqKaFL0kjIT8,The Path,0.416
2,Animals,Architects,244365,0.759,,0.02,1,0.073,-3.842,0,72.0,0.0319,95.01,4,1Td7TGT1XtK2ojUjz1mGUV,Animals,0.293
3,SLEEPS SOCIETY,While She Sleeps,201252,0.947,,1.63e-05,2,0.312,-4.175,1,64.0,0.23,85.044,4,5LteMwtmnx3IOCihvyO4v0,SLEEPS SOCIETY,0.319
4,Let The Chaos Reign,Pop Evil,198552,0.948,,0.691,9,0.139,-3.974,1,62.0,0.0456,107.975,4,01zEyqBizEZ1MDOaJ4nL4d,Let The Chaos Reign,0.549
5,Protect The Land / Genocidal Humanoidz,System Of A Down,155287,0.996,,7.21e-05,1,0.311,-2.086,0,72.0,0.213,102.944,4,3Sg3bOiD0kE4D5DcXk48Ds,Genocidal Humanoidz,0.0977
6,Death Diviner,Soilwork,305813,0.955,,0.00399,4,0.368,-4.849,1,60.0,0.0617,106.016,4,4zx54sa1AiERlvrFyLMXtJ,Death Diviner,0.219
7,SUPERNØVA (feat. Marcus Bischoff of Heaven Shall Burn),GHØSTKID,225709,0.969,,0.0,4,0.389,-5.478,0,56.0,0.0914,74.965,4,1Vbmq7Tp3hRhrhUbDT7AME,SUPERNØVA (feat. Marcus Bischoff of Heaven Shall Burn),0.336
8,Teardrops,Bring Me The Horizon,215004,0.916,,0.0,7,0.36,-3.323,1,76.0,0.108,96.051,4,3aniWcwiiYKHpm3F5TdeKD,Teardrops,0.401
9,Save Us,Atreyu,141608,0.816,,2.86e-06,0,0.0932,-4.59,1,62.0,0.0743,164.841,4,2Y4lgpOT0sPU1TiTmsbpZh,Save Us,0.385
10,The Triumph of King Freak (A Crypt of Preservation and Superstition),Rob Zombie,247040,0.919,,0.178,2,0.0833,-5.467,1,62.0,0.0568,99.972,4,5mf3p8pyhLHoS4EWeD354I,The Triumph of King Freak (A Crypt of Preservation and Superstition),0.383
11,Wayfinder,Kingdom Of Giants,268439,0.98,,0.231,11,0.0812,-4.926,0,44.0,0.123,173.018,4,1IaALqItB7CNxB59EnBZz5,Wayfinder,0.513
12,Archangel,Amaranthe,203373,0.967,,0.00142,0,0.089,-7.104,1,49.0,0.0666,180.027,4,28aQT80RVsVsD1X98WCew1,Archangel,0.227
